datetime,TATACHEM_open,TATACHEM_high,TATACHEM_low,TATACHEM_close,TATACHEM_volume
2023-07-27 12:13:59,993.45,993.85,993.05,993.05,2545.0
2023-07-27 12:14:59,993.05,993.65,993.0,993.65,1255.0
2023-07-27 12:15:59,993.65,993.65,993.1,993.5,871.0
2023-07-27 12:16:59,993.05,993.5,993.05,993.5,5729.0
2023-07-27 12:17:59,993.5,993.5,993.0,993.45,1132.0
2023-07-27 12:18:59,993.45,993.45,993.2,993.4,103.0
2023-07-27 12:19:59,993.4,993.5,993.2,993.35,2260.0
2023-07-27 12:20:59,993.35,993.5,993.05,993.4,1112.0
2023-07-27 12:21:59,993.4,993.5,993.05,993.05,532.0
2023-07-27 12:22:59,993.3,993.3,993.05,993.3,374.0
2023-07-27 12:23:59,993.3,993.5,992.9,993.5,1348.0
2023-07-27 12:24:59,993.5,994.0,993.5,993.75,4010.0
2023-07-27 12:25:59,994.0,994.0,993.65,993.75,350.0
2023-07-27 12:26:59,993.75,994.0,993.5,994.0,886.0
2023-07-27 12:27:59,994.05,994.05,993.55,993.6,122.0
2023-07-27 12:28:59,994.0,994.0,993.55,993.55,127.0
2023-07-27 12:29:59,994.0,994.0,993.55,993.85,38.0
2023-07-27 12:30:59,993.95,994.0,993.7,994.0,589.0
2023-07-27 12:31:59,994.0,994.0,993.65,993.65,1035.0
2023-07-27 12:32:59,993.65,993.95,993.65,993.95,75.0
2023-07-27 12:33:59,993.95,993.95,993.55,993.9,388.0
2023-07-27 12:34:59,993.9,993.95,993.55,993.9,251.0
2023-07-27 12:35:59,993.9,993.95,993.65,993.9,90.0
2023-07-27 12:36:59,993.9,993.95,993.15,993.25,1150.0
2023-07-27 12:37:59,993.25,993.85,993.25,993.8,703.0
2023-07-27 12:38:59,993.75,993.75,993.3,993.75,1373.0
2023-07-27 12:39:59,993.75,993.95,993.1,993.6,189.0
2023-07-27 12:40:59,993.6,993.85,993.05,993.85,4597.0
2023-07-27 12:41:59,993.45,994.0,993.25,994.0,521.0
2023-07-27 12:42:59,994.0,994.0,993.45,993.65,81.0
2023-07-27 12:43:59,993.65,994.0,993.65,993.65,91.0
2023-07-27 12:44:59,993.65,995.0,993.65,994.95,8256.0
2023-07-27 12:45:59,994.9,995.0,994.5,994.9,1292.0
2023-07-27 12:46:59,994.9,995.0,994.55,994.9,314.0
2023-07-27 12:47:59,994.9,995.5,994.65,995.5,2600.0
2023-07-27 12:48:59,995.15,995.85,994.95,995.45,1950.0
2023-07-27 12:49:59,995.85,995.85,995.5,995.5,739.0
2023-07-27 12:50:59,995.5,996.3,995.5,996.3,3543.0
2023-07-27 12:51:59,996.0,996.5,995.85,996.45,3970.0
2023-07-27 12:52:59,996.4,998.5,996.05,998.25,15472.0
2023-07-27 12:53:59,998.25,998.25,997.5,997.65,4214.0
2023-07-27 12:54:59,997.5,998.2,997.3,997.95,1829.0
2023-07-27 12:55:59,997.7,998.8,997.7,998.7,3529.0
2023-07-27 12:56:59,998.7,998.7,998.05,998.6,1395.0
2023-07-27 12:57:59,998.5,998.5,998.0,998.5,2480.0
2023-07-27 12:58:59,998.5,998.95,998.3,998.8,1692.0
2023-07-27 12:59:59,998.8,998.95,998.5,998.7,2074.0
2023-07-27 13:00:59,998.7,998.95,998.5,998.8,629.0
2023-07-27 13:01:59,998.8,998.8,997.5,998.75,4508.0
2023-07-27 13:02:59,998.5,998.8,998.0,998.0,1705.0
2023-07-27 13:03:59,997.8,998.75,997.55,998.25,1316.0
2023-07-27 13:04:59,998.25,998.7,997.9,998.5,921.0
2023-07-27 13:05:59,998.1,998.5,997.9,998.5,789.0
2023-07-27 13:06:59,998.5,998.5,997.8,998.1,1653.0
2023-07-27 13:07:59,998.1,998.35,997.4,997.8,3433.0
2023-07-27 13:08:59,997.8,998.0,997.4,997.9,709.0
2023-07-27 13:09:59,997.85,997.95,997.1,997.45,1554.0
2023-07-27 13:10:59,997.45,997.75,997.1,997.55,791.0
2023-07-27 13:11:59,997.7,997.75,997.2,997.65,1271.0
2023-07-27 13:12:59,997.75,998.9,997.75,998.9,4601.0
