datetime,NIFTY BANK_open,NIFTY BANK_high,NIFTY BANK_low,NIFTY BANK_close
2023-05-05 14:52:59,42808.1,42869.0,42794.15,42868.9
2023-05-05 14:53:59,42866.7,42871.3,42843.35,42869.15
2023-05-05 14:54:59,42870.5,42872.7,42835.3,42850.85
2023-05-05 14:55:59,42847.7,42848.6,42822.35,42822.35
2023-05-05 14:56:59,42821.25,42853.2,42816.2,42851.6
2023-05-05 14:57:59,42851.3,42851.65,42837.55,42851.6
2023-05-05 14:58:59,42844.05,42845.5,42806.35,42811.6
2023-05-05 14:59:59,42816.2,42817.75,42756.2,42778.9
2023-05-05 15:00:59,42783.9,42783.9,42666.45,42714.75
2023-05-05 15:01:59,42714.95,42743.4,42697.65,42717.7
2023-05-05 15:02:59,42721.55,42727.4,42682.7,42699.05
2023-05-05 15:03:59,42701.6,42718.1,42652.35,42656.6
2023-05-05 15:04:59,42652.35,42660.95,42601.45,42609.05
2023-05-05 15:05:59,42614.15,42640.65,42598.05,42635.2
2023-05-05 15:06:59,42636.85,42669.05,42618.35,42665.0
2023-05-05 15:07:59,42664.7,42677.25,42657.45,42677.25
2023-05-05 15:08:59,42679.2,42679.2,42614.5,42640.6
2023-05-05 15:09:59,42637.75,42705.8,42637.75,42697.25
2023-05-05 15:10:59,42693.05,42706.85,42679.25,42706.85
2023-05-05 15:11:59,42701.9,42747.75,42701.9,42747.75
2023-05-05 15:12:59,42750.05,42755.95,42729.1,42732.75
2023-05-05 15:13:59,42736.1,42736.1,42645.85,42645.85
2023-05-05 15:14:59,42647.2,42679.8,42643.35,42668.7
2023-05-05 15:15:59,42665.1,42699.7,42664.0,42672.8
2023-05-05 15:16:59,42671.55,42690.2,42666.2,42685.5
2023-05-05 15:17:59,42685.1,42689.55,42671.3,42674.8
2023-05-05 15:18:59,42676.25,42678.35,42645.25,42657.95
2023-05-05 15:19:59,42657.1,42665.35,42642.05,42642.05
2023-05-05 15:20:59,42643.2,42644.2,42582.2,42595.75
2023-05-05 15:21:59,42598.75,42617.9,42598.75,42609.55
2023-05-05 15:22:59,42609.05,42612.75,42602.5,42607.85
2023-05-05 15:23:59,42612.2,42632.25,42607.55,42630.4
2023-05-05 15:24:59,42630.7,42659.1,42630.2,42656.75
2023-05-05 15:25:59,42653.3,42671.45,42652.15,42667.25
2023-05-05 15:26:59,42665.0,42668.6,42652.1,42657.85
2023-05-05 15:27:59,42655.6,42656.85,42637.95,42652.45
2023-05-05 15:28:59,42645.8,42666.3,42644.35,42660.3
2023-05-05 15:29:59,42665.2,42674.95,42652.9,42669.25
2023-05-05 15:30:59,42671.0,42671.0,42671.0,42671.0
2023-05-08 09:15:59,42796.85,42889.9,42780.3,42879.85
2023-05-08 09:16:59,42870.95,42962.3,42870.95,42952.6
2023-05-08 09:17:59,42954.15,42979.2,42940.3,42958.45
2023-05-08 09:18:59,42951.6,42982.7,42924.55,42980.7
2023-05-08 09:19:59,42977.3,42998.55,42959.0,42978.05
2023-05-08 09:20:59,42974.9,43028.7,42974.9,43003.55
2023-05-08 09:21:59,43003.5,43020.1,42987.3,43006.45
2023-05-08 09:22:59,43004.7,43016.45,42980.05,43004.15
2023-05-08 09:23:59,43002.2,43013.65,42985.3,43001.95
2023-05-08 09:24:59,43002.5,43044.35,42995.95,43038.0
2023-05-08 09:25:59,43045.1,43153.65,43045.1,43153.65
2023-05-08 09:26:59,43161.9,43190.1,43125.5,43125.5
2023-05-08 09:27:59,43130.7,43138.6,43104.4,43123.85
2023-05-08 09:28:59,43124.75,43131.05,43098.05,43101.4
2023-05-08 09:29:59,43108.55,43131.9,43094.9,43128.8
2023-05-08 09:30:59,43124.7,43159.7,43124.7,43133.9
2023-05-08 09:31:59,43130.95,43173.2,43130.95,43168.55
2023-05-08 09:32:59,43168.2,43194.6,43155.55,43185.05
2023-05-08 09:33:59,43184.35,43192.35,43154.45,43156.75
2023-05-08 09:34:59,43153.45,43175.5,43153.45,43170.7
2023-05-08 09:35:59,43164.35,43214.8,43164.35,43199.95
2023-05-08 09:36:59,43199.1,43199.1,43147.45,43154.8
2023-05-08 09:37:59,43160.25,43188.85,43154.25,43178.25
2023-05-08 09:38:59,43179.35,43188.3,43159.3,43166.4
2023-05-08 09:39:59,43168.4,43182.35,43159.15,43168.45
2023-05-08 09:40:59,43168.05,43182.55,43157.15,43178.8
2023-05-08 09:41:59,43178.65,43199.8,43174.7,43189.6
2023-05-08 09:42:59,43175.8,43189.05,43171.1,43175.0
2023-05-08 09:43:59,43175.05,43213.75,43172.3,43203.8
2023-05-08 09:44:59,43203.15,43208.85,43177.1,43179.85
2023-05-08 09:45:59,43182.05,43198.05,43177.5,43181.45
2023-05-08 09:46:59,43183.0,43205.7,43178.65,43198.4
2023-05-08 09:47:59,43199.0,43234.25,43199.0,43220.0
2023-05-08 09:48:59,43221.65,43235.8,43218.05,43233.25
2023-05-08 09:49:59,43232.45,43269.05,43225.75,43259.7
2023-05-08 09:50:59,43263.2,43303.65,43261.85,43267.45
2023-05-08 09:51:59,43272.7,43295.95,43262.75,43276.15
2023-05-08 09:52:59,43275.65,43293.25,43270.6,43287.55
2023-05-08 09:53:59,43284.3,43291.4,43249.35,43250.7
